feeder_name,feeder_slug,state,district,band,avg_supply_hours_per_day,zero_supply_days,fault_hours_per_day,fault_hours_total,os_hours_per_day,os_hours_total,load_shedding_hours_per_day,load_shedding_hours_total,tcn_hours_total_excluded,energy_positive_days,energy_zero_or_negative_days,energy_no_data_days
MAIDUGURI ROAD,KN-MAR-MAI,Kano,Kano South,C,5.39,2,0.0,0.0,0.0,0.0,0.0,0,0,25,0,6
MAIMALARI,KN-BRI-MAI,Kano,Kano Central,A,21.94,0,1.48,45.78,0.0,0.0,1.21,37.4,0.01,23,0,8
MAJE,KN-HAD-MAJ,Jigawa,Jigawa North,B,9.0,1,0.0,0.0,0.0,0.0,0.0,0,0,29,0,2
MAJESTIC,KN-BIR-MAJ,Jigawa,Jigawa South,B,8.58,1,14.04,435.29,9.38,290.63,3.45,106.93,17.62,4,25,2
MAKAMA,KN-WUD-MAK,Kano,Kano South,C,4.55,6,5.48,169.88,0.0,0.0,9.82,304.42,189.42,26,0,5
MAKWALLA,KN-MAL-MAK,Jigawa,Jigawa North,D,6.19,0,1.79,55.53,0.0,0.0,5.94,184.0,98.1,0,31,0
MARHABA,KN-ZAR-MAR,Kano,Kano Industrial,C,0.0,31,0.0,0.0,0.0,0.0,24.0,744.0,0,26,1,4
MASARAUTA,KN-NAI-MAS,Kano,Kano West,B,4.06,5,18.14,562.47,0.0,0.0,18.47,572.46,0.01,24,2,5
MATAZU,KN-MUS-MAT,Katsina,Katsina Central,D,2.74,17,5.01,155.19,0.0,0.0,11.85,367.44,0,20,6,5
MUHAMMED DIKKO,KN-KOF2-MUH,Katsina,Katsina North,B,4.61,6,3.82,118.46,0.0,0.0,3.82,118.46,0,24,4,3
MUNDADU,KN-GON-MUN,Kano,Kano Industrial,C,2.74,7,21.42,663.95,0.0,0.0,20.59,638.27,11.89,31,0,0
MURTALA MUHAMMED,KN-CLU-MUR,Kano,Kano Central,B,18.1,0,6.09,188.72,0.0,0.0,3.19,98.78,34.65,31,0,0
NAGOGGO,KN-FAD-NAG,Katsina,Katsina North,C,0.0,31,24.0,744.0,0.0,0.0,0.0,0,0,0,0,31
NAKOWA,KN-TEX-NAK,Katsina,Katsina South,C,9.35,1,16.53,512.43,0.0,0.0,11.77,364.95,0.74,30,0,1
